,columns,total_test_windows,input_window,output_window,outlier_threshold,accuracy,precision,recall,f1
0,"['lending_rate', 'borrowing_rate', 'utilization_rate', 'yield', 'market_cap', 'attention', 'returns', 'volume']",56869,48,48,remove,0.46301148253002516,0.3632563270602088,0.3636334984958957,0.363406014836493
1,"['lending_rate', 'borrowing_rate', 'utilization_rate', 'yield', 'market_cap', 'attention', 'returns', 'volume']",55755,96,8,remove,0.7946551878755269,0.35631890617864964,0.3586341471584658,0.34360314136959463
