,columns,balancer,total_windows,input_window,output_window,outlier_threshold,accuracy,precision,recall,f1
0,"['lending_rate', 'borrowing_rate', 'utilization_rate', 'close', 'volume', 'yield', 'market_cap', 'crypto_symbol_embedding_1', 'crypto_symbol_embedding_2', 'crypto_symbol_embedding_3', 'crypto_symbol_embedding_4', 'crypto_symbol_embedding_5', 'crypto_symbol_embedding_6', 'crypto_symbol_embedding_7', 'crypto_symbol_embedding_8', 'crypto_symbol_embedding_9', 'crypto_symbol_embedding_10', 'crypto_symbol_embedding_11', 'crypto_symbol_embedding_12', 'crypto_symbol_embedding_13', 'crypto_symbol_embedding_14', 'crypto_symbol_embedding_15', 'Month_Sine', 'Month_Cosine', 'Day_Sine', 'Day_Cosine', 'Hour_Sine', 'Hour_Cosine', 'DayofWeek_Sine', 'DayofWeek_Cosine', 'attention', 'returns']",1,42862,48,48,remove,0.46005786010918764,0.4014364053733021,0.39797202112383884,0.37953564336322376
1,"['lending_rate', 'borrowing_rate', 'utilization_rate', 'close', 'volume', 'yield', 'market_cap', 'crypto_symbol_embedding_1', 'crypto_symbol_embedding_2', 'crypto_symbol_embedding_3', 'crypto_symbol_embedding_4', 'crypto_symbol_embedding_5', 'crypto_symbol_embedding_6', 'crypto_symbol_embedding_7', 'crypto_symbol_embedding_8', 'crypto_symbol_embedding_9', 'crypto_symbol_embedding_10', 'crypto_symbol_embedding_11', 'crypto_symbol_embedding_12', 'crypto_symbol_embedding_13', 'crypto_symbol_embedding_14', 'crypto_symbol_embedding_15', 'Month_Sine', 'Month_Cosine', 'Day_Sine', 'Day_Cosine', 'Hour_Sine', 'Hour_Cosine', 'DayofWeek_Sine', 'DayofWeek_Cosine', 'attention', 'returns']",1.5,42862,48,48,remove,0.4717465353926555,0.3793947550106884,0.3769552304379095,0.365336108844372
2,"['lending_rate', 'borrowing_rate', 'utilization_rate', 'close', 'volume', 'yield', 'market_cap', 'crypto_symbol_embedding_1', 'crypto_symbol_embedding_2', 'crypto_symbol_embedding_3', 'crypto_symbol_embedding_4', 'crypto_symbol_embedding_5', 'crypto_symbol_embedding_6', 'crypto_symbol_embedding_7', 'crypto_symbol_embedding_8', 'crypto_symbol_embedding_9', 'crypto_symbol_embedding_10', 'crypto_symbol_embedding_11', 'crypto_symbol_embedding_12', 'crypto_symbol_embedding_13', 'crypto_symbol_embedding_14', 'crypto_symbol_embedding_15', 'Month_Sine', 'Month_Cosine', 'Day_Sine', 'Day_Cosine', 'Hour_Sine', 'Hour_Cosine', 'DayofWeek_Sine', 'DayofWeek_Cosine', 'attention', 'returns']",2,42862,48,48,remove,0.4637207783117913,0.39350651191257296,0.3929083685162699,0.37704022247820124
