,columns,total_test_windows,input_window,output_window,outlier_threshold,accuracy,precision,recall,f1
0,"['lending_rate', 'borrowing_rate', 'utilization_rate', 'yield', 'market_cap', 'attention', 'returns', 'volume']",56869,48,48,remove,0.4943114878053069,0.4062405681860513,0.41238361791927636,0.4060852394243711
1,"['lending_rate', 'borrowing_rate', 'utilization_rate', 'yield', 'market_cap', 'attention', 'returns', 'volume']",55755,96,8,remove,0.8012913640032284,0.35856388080614554,0.3710867625979652,0.34942518307667375
