,columns,total_test_windows,input_window,output_window,outlier_threshold,optimizer,cell_size,dropout,accuracy,precision,recall,f1
24,"['lending_rate', 'borrowing_rate', 'utilization_rate', 'yield', 'market_cap', 'attention', 'returns', 'volume']",56869,48,48,remove,rmsprop,40,0.1,0.5007121630413758,0.40360228799125847,0.4048795395691167,0.40395311856698707
25,"['lending_rate', 'borrowing_rate', 'utilization_rate', 'yield', 'market_cap', 'attention', 'returns', 'volume']",55755,96,8,remove,rmsprop,40,0.1,0.8071563088512241,0.3667291423206604,0.36924426961428236,0.35692524835952577
26,"['lending_rate', 'borrowing_rate', 'utilization_rate', 'yield', 'market_cap', 'attention', 'returns', 'volume']",56869,48,48,remove,rmsprop,40,0.4,0.42981237581107457,0.4027901442790924,0.4084301440670879,0.38752571618362514
27,"['lending_rate', 'borrowing_rate', 'utilization_rate', 'yield', 'market_cap', 'attention', 'returns', 'volume']",55755,96,8,remove,rmsprop,40,0.4,0.7903506411980988,0.36282559331354247,0.37361492298237736,0.35051557123932514
28,"['lending_rate', 'borrowing_rate', 'utilization_rate', 'yield', 'market_cap', 'attention', 'returns', 'volume']",56869,48,48,remove,rmsprop,80,0.1,0.4135820921767571,0.3913135695637094,0.3913366245888749,0.3774392275291229
29,"['lending_rate', 'borrowing_rate', 'utilization_rate', 'yield', 'market_cap', 'attention', 'returns', 'volume']",55755,96,8,remove,rmsprop,80,0.1,0.7802708277284548,0.34219561389985437,0.35304833496457816,0.3375733270154879
30,"['lending_rate', 'borrowing_rate', 'utilization_rate', 'yield', 'market_cap', 'attention', 'returns', 'volume']",56869,48,48,remove,rmsprop,80,0.4,0.41484815980586964,0.36027416569766896,0.36211132051939776,0.35765118545065105
31,"['lending_rate', 'borrowing_rate', 'utilization_rate', 'yield', 'market_cap', 'attention', 'returns', 'volume']",55755,96,8,remove,rmsprop,80,0.4,0.7947089947089947,0.3556980652484034,0.36796669410404287,0.34479118181331936
32,"['lending_rate', 'borrowing_rate', 'utilization_rate', 'yield', 'market_cap', 'attention', 'returns', 'volume']",56869,48,48,remove,rmsprop,120,0.1,0.47931210325484885,0.39005144598971125,0.3773369871213034,0.3781521163690806
33,"['lending_rate', 'borrowing_rate', 'utilization_rate', 'yield', 'market_cap', 'attention', 'returns', 'volume']",55755,96,8,remove,rmsprop,120,0.1,0.7689713927002063,0.33584832339221765,0.34525404946514704,0.3278158093540053
34,"['lending_rate', 'borrowing_rate', 'utilization_rate', 'yield', 'market_cap', 'attention', 'returns', 'volume']",56869,48,48,remove,rmsprop,120,0.4,0.39939158416712095,0.3551288776878867,0.36465996132597195,0.3380011911001255
35,"['lending_rate', 'borrowing_rate', 'utilization_rate', 'yield', 'market_cap', 'attention', 'returns', 'volume']",55755,96,8,remove,rmsprop,120,0.4,0.7820823244552058,0.3577437247509976,0.36429040194712886,0.33876070679473874
