,columns,total_test_windows,input_window,output_window,outlier_threshold,optimizer,cell_size,dropout,accuracy,precision,recall,f1
0,"['lending_rate', 'borrowing_rate', 'utilization_rate', 'yield', 'market_cap', 'attention', 'returns', 'volume']",56869,48,48,remove,rmsprop,10,0.02,0.3941163023791521,0.37582346208809886,0.3827296304483638,0.35576121283766243
1,"['lending_rate', 'borrowing_rate', 'utilization_rate', 'yield', 'market_cap', 'attention', 'returns', 'volume']",56869,48,48,remove,rmsprop,10,0.05,0.4830575533243067,0.3918804430741454,0.39146258315207016,0.3856350983123573
2,"['lending_rate', 'borrowing_rate', 'utilization_rate', 'yield', 'market_cap', 'attention', 'returns', 'volume']",56869,48,48,remove,rmsprop,10,0.1,0.28351122755807207,0.37169310057965105,0.35121483133758585,0.2680519726545256
3,"['lending_rate', 'borrowing_rate', 'utilization_rate', 'yield', 'market_cap', 'attention', 'returns', 'volume']",56869,48,48,remove,rmsprop,20,0.02,0.47018586576166277,0.39478434791854466,0.3949016778475612,0.3922655001000786
4,"['lending_rate', 'borrowing_rate', 'utilization_rate', 'yield', 'market_cap', 'attention', 'returns', 'volume']",56869,48,48,remove,rmsprop,20,0.05,0.37693646802300024,0.38808649334926787,0.37422242836177383,0.3478233144826432
5,"['lending_rate', 'borrowing_rate', 'utilization_rate', 'yield', 'market_cap', 'attention', 'returns', 'volume']",56869,48,48,remove,rmsprop,20,0.1,0.35423517206210764,0.4002515143848393,0.40128715096504575,0.3519741295657208
6,"['lending_rate', 'borrowing_rate', 'utilization_rate', 'yield', 'market_cap', 'attention', 'returns', 'volume']",56869,48,48,remove,rmsprop,40,0.02,0.44085529902055604,0.3758354892587661,0.3763068342445049,0.3723803900229293
7,"['lending_rate', 'borrowing_rate', 'utilization_rate', 'yield', 'market_cap', 'attention', 'returns', 'volume']",56869,48,48,remove,rmsprop,40,0.05,0.4194024864161494,0.3868556279387331,0.39182504897577886,0.379301935779025
8,"['lending_rate', 'borrowing_rate', 'utilization_rate', 'yield', 'market_cap', 'attention', 'returns', 'volume']",56869,48,48,remove,rmsprop,40,0.1,0.39932124707661465,0.3966335079388259,0.39938846212669893,0.3618293213372831
